1,"502 Cedar Dr","Santa Ana Pueblo","NM","87004",,"Mailing & Physical",0
2,"PO Box 22452","Portland","OR","972692452",,"Mailing",0
3,"454 Elm St","Phoenix","OR","97535",,"Mailing & Physical",0
4,"Highway 97 & Buster Rd","Toppenish","WA","98948",,"Mailing & Physical",0
5,"2904 SW Hailey Ave","Pendleton","OR","97801",,"Mailing & Physical",0
6,"PO Box 20646","Keizer","OR","97307",,"Mailing",0
7,"21923 SW 107th Ave","Tualatin","OR","97602",,"Mailing & Physical",0
8,"3333 SE Belmont St","Portland","OR","97214",,"Mailing & Physical",0
9,"707 125th Place NW","Marysville","WA","98271",,"Mailing & Physical",0
10,"1839 Molalla Ave, Ste 7","Oregon City","OR","970454071",,"Mailing & Physical",0
11,"PO Box 535","Warm Springs","OR","97761",,"Mailing",0
12,"PO Box 22452","Portland","OR","972692452",,"Mailing",0
16,"1375 NW Mall Street, Ste 3","Issaquah","WA","98027",,"Mailing",0
15,"4512 SW Idaho Dr","Portland","OR","97221",,"Mailing",0
19,"PO Box 460","Warm Springs","OR","97761",,"Mailing",0
21,"PO Box 604","Maple Valley","WA","98038",,"Mailing",0
22,"PO Box 1646","McMinnville","OR","97128",,"Mailing",0
23,"2526 Grand Avenue","Billings","MT","59012",,"Mailing & Physical",0
24,"131 S. Canyon Blvd","John Day","OR","97868",,"Mailing & Physical",0
26,"3240 Walsey Lane, Suite #5","Warm Springs","OR","97761",,"Physical",0
26,"PO Box 989","Warm Springs","OR","97761",,"Mailing",0
27,"3634 Goldstone Ct. NE","Salem","OR","97305",,"Mailing & Physical",0
29,"PO Box 586","Siletz","OR","97380",,"Mailing",0
29,"2925 SE Ferry Slip Rd #228","Newport","OR","97365",,"Physical",0
30,"72789 Hwy 331","Pendleton","OR","97801",,"Mailing",0
32,"3926 NE 105th St","Seattle","WA","98125",,"Mailing",1
33,"7961 S-450 Island Rd.","Warm Springs","OR","97761",,"Physical",0
33,"PO Box 812","Warm Springs","OR","97761",,"Mailing",0
35,"PO Box 820087","Portland","OR","97282",,"Mailing",0
36,"PO Box 822","Silverton","OR","97381",,"Mailing",0
37,"120 NE Canning Dr","Colville","WA","99114",,"Mailing & Physical",0
38,"2612 Old Tulalip Rd","Marysville","WA","98271",,"Physical",0
38,"8825 34th Ave NE #L164","Marysville","WA","98271",,"Mailing",0
39,"PO Box 6267","Spokane","WA","992170905",,"Mailing",0
40,"16280 State Hwy 305","Poulsbo","WA","98370",,"Mailing & Physical",0
41,"3915 E Nebraska","Spokane","WA","99217",,"Physical",0
42,"PO Box 906","Warm Springs","WA","97761",,"Mailing",0
43,"36 West Q St","Springfield","OR","97477",,"Physical",0
44,"PO Box 2040","Corvallis","OR","973392040",,"Mailing",0
45,"PO Box 38","Clackamas","OR","97015",,"Mailing",0
45,"13651 SE Ambler Rd","Clackamas","OR","97015",,"Physical",0
46,"11385 SW Scholls Ferry Rd","Beaverton","OR","97008",,"Mailing & Physical",0
47,"PO Box 976","Warm Springs","OR","97761",,"Mailing",0
48,"1015 N. Yardley","Spokane","WA","99212",,"Physical",0
49,"PO Box 2473","Clackamas","OR","97015",,"Mailing",0
50,"6715 Ash Ave","Grand Ronde","OR","97347",,"Physical",0
51,"6715 Ash Ave","Grand Ronde","OR","97347",,"Mailing",0
52,"PO Box 599","Lapwai","ID","83540",,"Mailing",0
53,"318 E. 4th St.","The Dalles","OR","97058",,"Physical",0
54,"PO Box 422","White Swan","WA","98952",,"Mailing",0
55,"1520 140th Ave NE, Ste 100","Bellevue","WA","98005",,"Mailing",0
56,"4107 SE International Way, Ste 705","Milwaukie","OR","97222",,"Mailing",0
57,"RRI, Box 1882","Delaware","OK","74027",,"Mailing",0
58,"6302 St. Albion Way, Ste B103","Mountlake Terrace","WA","98043",,"Mailing",0
59,"1819 East Springfield Ave","Spokane","WA","99202",,"Mailing",0
60,"PO Box 205","Warm Springs","OR","97761",,"Mailing",0
61,"PO Box 114","Grand Ronde","OR","97347",,"Mailing",0
63,"PO Box 981","Scappoose","OR","97056",,"Mailing",0
65,"17805 43rd Ave S","Seattle","WA","98188",,"Mailing & Physical",0
66,"PO Box 908","Uncasville","CT","06382",,"Mailing",0
67,"66 W Park","Butte","MT","59701",,"Physical",0
68,"13428 45th Court W","Makilteo","WA","98275",,"Mailing & Physical",0
62,"11528 SE Lincoln St.","Portland","OR","97216",,"Mailing",0
69,"PO Box 636","Nespelem","WA","99155",,"Mailing",0
69,"7 North Star Rd","Nespelem","WA","99155",,"Physical",0
70,"Rural Route #2 Box 55M","Pocatello","ID","83202",,"Mailing",0
71,"PO Box 487","Hoodsport","WA","98548",,"Mailing",0
